Current_Residence_State,Current_Residence_County,Current_Residence_County_Population_1_Year_and_Over,Current_Residence_County_Nonmovers,Current_Residence_Movers_within_United_States,Current_Residence_Movers_within_Same_County,Current_Residence_Movers_from_Different_County_Same_State,Current_Residence_Movers_from_Different_State,Current_Residence_Movers_from_Abroad,Previous_Residence_State/U.S._Island_Area/Foreign_Region,Previous_Residence_County,Previous_Residence_County_Population_1_Year_and_Over,Previous_Residence_County_Nonmovers,Previous_Residence_Movers_within_United_States_or_Puerto_Rico,Previous_Residence_Movers_within_Same_County,Previous_Residence_Movers_within_Different_County_Same_State,Previous_Residence_Movers_within_Different_State,Previous_Residence_Movers_to_Puerto_Rico,Movers_in_County_to_County_Flow,Current_Residence_County_State,Previous_Residence_County_State
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Baldwin County,207884,186155,21729,13004,3133,5592,,25,"Autauga County, Alabama","Baldwin County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Barbour County,25266,21406,3860,2325,1210,325,,4,"Autauga County, Alabama","Barbour County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Bibb County,21960,19860,2100,784,1184,132,,10,"Autauga County, Alabama","Bibb County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Blount County,57849,53424,4425,2024,1818,583,,3,"Autauga County, Alabama","Blount County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Calhoun County,113102,94947,18088,11467,4162,2459,67,2,"Autauga County, Alabama","Calhoun County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Chilton County,43801,39270,4531,2835,1234,462,,11,"Autauga County, Alabama","Chilton County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Clarke County,24100,22249,1851,1146,413,292,,34,"Autauga County, Alabama","Clarke County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Conecuh County,12488,11909,579,191,357,31,,44,"Autauga County, Alabama","Conecuh County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Dale County,47147,39659,7488,3126,2289,2073,,75,"Autauga County, Alabama","Dale County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Dallas County,39054,34106,4948,3123,1392,433,,129,"Autauga County, Alabama","Dallas County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Elmore County,78802,68625,10177,4551,4515,1111,,547,"Autauga County, Alabama","Elmore County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Etowah County,101090,87863,13227,9063,2435,1729,,1,"Autauga County, Alabama","Etowah County, Alabama"
Alabama,Autauga County,54699,48066,6539,2976,2015,1548,94,Alabama,Jefferson County,650812,547909,102903,71086,18532,13285,,17,"Autauga County, Alabama","Jefferson County, Alabama"
