State,County,County and State,2015 Population,2019 Population,Net Migration 2015-19,% Change Due to Migration
Alabama,Autauga County,"Autauga County, Alabama",54864,55869,-2535.0,-0.046205161854768154
Alabama,Baldwin County,"Baldwin County, Alabama",202939,223234,2295.0,0.011308816935138145
Alabama,Barbour County,"Barbour County, Alabama",26283,24686,-287.0,-0.010919605828862764
Alabama,Bibb County,"Bibb County, Alabama",22566,22394,156.0,0.0069130550385535765
Alabama,Blount County,"Blount County, Alabama",57526,57826,-753.0,-0.013089733337968918
Alabama,Bullock County,"Bullock County, Alabama",10400,10101,-610.0,-0.058653846153846154
Alabama,Butler County,"Butler County, Alabama",20162,19448,-261.0,-0.012945144330919551
Alabama,Calhoun County,"Calhoun County, Alabama",115469,113605,-179.0,-0.0015501996206774113
Alabama,Chambers County,"Chambers County, Alabama",33996,33254,38.0,0.0011177785621837863
Alabama,Cherokee County,"Cherokee County, Alabama",25732,26196,228.0,0.008860562723457173
Alabama,Chilton County,"Chilton County, Alabama",43700,44428,-191.0,-0.00437070938215103
Alabama,Choctaw County,"Choctaw County, Alabama",13231,12589,-210.0,-0.015871816189252513
Alabama,Clarke County,"Clarke County, Alabama",24698,23622,-208.0,-0.008421734553405134
Alabama,Clay County,"Clay County, Alabama",13415,13235,-176.0,-0.013119642191576594
Alabama,Cleburne County,"Cleburne County, Alabama",14914,14910,699.0,0.04686871396003755
Alabama,Coffee County,"Coffee County, Alabama",50963,52342,146.0,0.0028648234994015265
Alabama,Colbert County,"Colbert County, Alabama",54417,55241,-1349.0,-0.024790047227888343
Alabama,Conecuh County,"Conecuh County, Alabama",12678,12067,-177.0,-0.013961192617132039
Alabama,Coosa County,"Coosa County, Alabama",10934,10663,284.0,0.025974025974025976
Alabama,Covington County,"Covington County, Alabama",37556,37049,298.0,0.00793481733943977
Alabama,Crenshaw County,"Crenshaw County, Alabama",13850,13772,-440.0,-0.03176895306859206
Alabama,Cullman County,"Cullman County, Alabama",81761,83768,564.0,0.0068981543767811055
Alabama,Dale County,"Dale County, Alabama",49365,49172,1147.0,0.02323508558695432
Alabama,Dallas County,"Dallas County, Alabama",40936,37196,-719.0,-0.017564002345124095
Alabama,DeKalb County,"DeKalb County, Alabama",71087,71513,526.0,0.007399383853587857
Alabama,Elmore County,"Elmore County, Alabama",80872,81209,1243.0,0.015369967355821546
Alabama,Escambia County,"Escambia County, Alabama",37661,36633,-707.0,-0.018772735721303203
Alabama,Etowah County,"Etowah County, Alabama",102998,102268,447.0,0.0043398900949533
Alabama,Fayette County,"Fayette County, Alabama",16696,16302,325.0,0.019465740297077143
Alabama,Franklin County,"Franklin County, Alabama",31515,31362,-235.0,-0.007456766619070284
Alabama,Geneva County,"Geneva County, Alabama",26631,26271,275.0,0.010326311441553077
Alabama,Greene County,"Greene County, Alabama",8508,8111,-285.0,-0.03349788434414669
Alabama,Hale County,"Hale County, Alabama",15015,14651,-822.0,-0.05474525474525475
Alabama,Henry County,"Henry County, Alabama",17101,17205,57.0,0.0033331384129583067
Alabama,Houston County,"Houston County, Alabama",104260,105882,-1714.0,-0.016439670055630157
Alabama,Jackson County,"Jackson County, Alabama",52195,51626,-970.0,-0.01858415557045694
Alabama,Jefferson County,"Jefferson County, Alabama",660455,658573,-1283.0,-0.0019426001771506007
Alabama,Lamar County,"Lamar County, Alabama",13927,13805,-315.0,-0.022617936382566237
Alabama,Lauderdale County,"Lauderdale County, Alabama",92459,92729,2719.0,0.029407629327593852
Alabama,Lawrence County,"Lawrence County, Alabama",33135,32924,337.0,0.010170514561641768
Alabama,Lee County,"Lee County, Alabama",156954,164542,4627.0,0.02947997502452948
Alabama,Limestone County,"Limestone County, Alabama",91565,98915,2619.0,0.028602632010047507
Alabama,Lowndes County,"Lowndes County, Alabama",10350,9726,-199.0,-0.01922705314009662
Alabama,Macon County,"Macon County, Alabama",19296,18068,352.0,0.01824212271973466
Alabama,Madison County,"Madison County, Alabama",352977,372909,1463.0,0.004144745974950209
Alabama,Marengo County,"Marengo County, Alabama",19766,18863,-581.0,-0.029393908732166345
Alabama,Marion County,"Marion County, Alabama",30119,29709,-626.0,-0.020784222583751122
Alabama,Marshall County,"Marshall County, Alabama",94585,96774,-588.0,-0.0062166305439551725
Alabama,Mobile County,"Mobile County, Alabama",414462,413210,-3313.0,-0.00799349518170544
Alabama,Monroe County,"Monroe County, Alabama",21717,20733,-82.0,-0.0037758438089975596
Alabama,Montgomery County,"Montgomery County, Alabama",227279,226486,2229.0,0.009807329317710832
Alabama,Morgan County,"Morgan County, Alabama",119257,119679,610.0,0.005115003731437149
Alabama,Perry County,"Perry County, Alabama",9640,8923,-541.0,-0.05612033195020747
Alabama,Pickens County,"Pickens County, Alabama",20776,19930,-203.0,-0.00977088948787062
Alabama,Pike County,"Pike County, Alabama",33496,33114,86.0,0.0025674707427752567
Alabama,Randolph County,"Randolph County, Alabama",22594,22722,142.0,0.006284854386120209
Alabama,Russell County,"Russell County, Alabama",58844,57961,1189.0,0.02020596832302359
Alabama,St. Clair County,"St. Clair County, Alabama",86546,89512,92.0,0.0010630185103875395
Alabama,Shelby County,"Shelby County, Alabama",208959,217702,2584.0,0.012366062241875201
Alabama,Sumter County,"Sumter County, Alabama",13206,12427,-33.0,-0.002498864152657883
Alabama,Talladega County,"Talladega County, Alabama",81128,79978,-24.0,-0.00029582881372645697
Alabama,Tallapoosa County,"Tallapoosa County, Alabama",40605,40367,-498.0,-0.012264499445881049
Alabama,Tuscaloosa County,"Tuscaloosa County, Alabama",204767,209355,6564.0,0.03205594651481928
Alabama,Walker County,"Walker County, Alabama",64931,63521,1296.0,0.019959649474057074
Alabama,Washington County,"Washington County, Alabama",16832,16326,15.0,0.0008911596958174905
Alabama,Wilcox County,"Wilcox County, Alabama",10896,10373,-425.0,-0.03900513950073421
Alabama,Winston County,"Winston County, Alabama",23930,23629,-272.0,-0.011366485582950272
Alaska,Aleutians East Borough,"Aleutians East Borough, Alaska",3373,3337,-318.0,-0.09427809072042692
Alaska,Aleutians West Census Area,"Aleutians West Census Area, Alaska",5781,5634,132.0,0.022833419823559936
Alaska,Anchorage Municipality,"Anchorage Municipality, Alaska",297547,288000,-7925.0,-0.02663444766709125
Alaska,Bethel Census Area,"Bethel Census Area, Alaska",17955,18386,-690.0,-0.03842940685045948
Alaska,Bristol Bay Borough,"Bristol Bay Borough, Alaska",904,836,-74.0,-0.08185840707964602
Alaska,Denali Borough,"Denali Borough, Alaska",1933,2097,129.0,0.06673564407656493
Alaska,Dillingham Census Area,"Dillingham Census Area, Alaska",4988,4916,58.0,0.011627906976744186
Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",99636,96849,-2082.0,-0.02089606166445863
Alaska,Haines Borough,"Haines Borough, Alaska",2516,2530,40.0,0.01589825119236884
Alaska,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, Alaska",2132,2148,77.0,0.036116322701688554
Alaska,Juneau City and Borough,"Juneau City and Borough, Alaska",32615,31974,-282.0,-0.008646328376513874
Alaska,Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",58034,58708,269.0,0.004635213840162663
Alaska,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",13702,13901,-410.0,-0.029922639030798424
Alaska,Kodiak Island Borough,"Kodiak Island Borough, Alaska",13767,12998,-254.0,-0.018449916466913633
Alaska,Kusilvak Census Area,"Kusilvak Census Area, Alaska",8194,8314,-213.0,-0.025994630217232122
Alaska,Lake and Peninsula Borough,"Lake and Peninsula Borough, Alaska",1595,1592,-106.0,-0.0664576802507837
Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",101062,108317,66.0,0.000653064455482773
Alaska,Nome Census Area,"Nome Census Area, Alaska",9893,10004,23.0,0.002324876175073284
Alaska,North Slope Borough,"North Slope Borough, Alaska",9788,9832,188.0,0.019207192480588477
Alaska,Northwest Arctic Borough,"Northwest Arctic Borough, Alaska",7772,7621,-34.0,-0.004374678332475553
Alaska,Petersburg Borough,"Petersburg Borough, Alaska",3253,3266,-38.0,-0.01168152474638795
Alaska,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census Area, Alaska",6508,6203,-142.0,-0.021819299323909035
Alaska,Sitka City and Borough,"Sitka City and Borough, Alaska",8778,8493,152.0,0.017316017316017316
Alaska,Skagway Municipality,"Skagway Municipality, Alaska",1088,1183,94.0,0.08639705882352941
Alaska,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, Alaska",6812,6893,389.0,0.05710510863182619
Alaska,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, Alaska",9319,9202,-59.0,-0.006331151411095611
Alaska,Wrangell City and Borough,"Wrangell City and Borough, Alaska",2453,2502,-12.0,-0.004891969017529555
Alaska,Yakutat City and Borough,"Yakutat City and Borough, Alaska",635,579,57.0,0.08976377952755905
Alaska,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, Alaska",5465,5230,-208.0,-0.038060384263494965
Arizona,Apache County,"Apache County, Arizona",71012,71887,-3314.0,-0.046668168760209544
