Region Name,State name,State and County,Region Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Price change % 2015-19
Abbeville County,South Carolina,"Abbeville County, South Carolina",45001,100,107.98,111.81,114.34,120.85,124.86,132.1,137.24,140.69,138.05,132.29,128.12,123.05,123.16,130.71,131.96,133.75,142.15,152.61,152.99,165.44,0.17045367607681117
Acadia Parish,Louisiana,"Acadia Parish, Louisiana",22001,100,104.43,108.49,110.81,115.76,121.31,133.31,140.87,146.29,143.63,144.44,142.77,144.42,149.83,153.58,154.92,157.71,160.82,162.84,168.98,170.25,0.10027347310847756
Accomack County,Virginia,"Accomack County, Virginia",51001,100,110.4,117.26,128.84,150.11,182.78,199.76,204.34,200.06,187.31,171.86,167.34,163.35,162.22,160.17,163.32,163.24,168.2,165.83,171.98,182.96,0.07373415745770129
Ada County,Idaho,"Ada County, Idaho",16001,100,105.04,108.78,111.46,117.7,136.45,168.49,174.9,166.13,144.73,124.83,110.2,115.45,129.05,142.79,152.52,165.94,184.58,209.58,233.07,254.81,0.6322571608656069
Adair County,Missouri,"Adair County, Missouri",29001,100,102.37,102.96,105.43,107.36,113.61,113.69,117.54,117.35,116.05,112.61,113.79,116.24,116.75,118.19,117.48,119.61,121.36,127.29,128.14,128.2,0.08418647939758017
Adair County,Iowa,"Adair County, Iowa",19001,100,106.29,109.17,106.89,112.7,126.5,125.37,133.54,130.01,127.56,126.43,126.61,127.8,125.04,146.4,135.31,139.39,156.03,155.8,155.6,171.01,0.06284153005464477
Adair County,Kentucky,"Adair County, Kentucky",21001,100,103.6,108.64,113.12,119.39,125.09,133.72,137.09,139.36,134.05,133.22,133.05,134.63,128.83,126.39,130.98,141.89,139.2,151.13,157.62,163.17,0.2470923332542132
Adair County,Oklahoma,"Adair County, Oklahoma",40001,100,102.42,109.15,106.75,115.39,124.39,132.99,135.68,140.91,136.48,126.79,134.65,119.97,132.26,137.53,138.09,147.55,157.27,177.74,143.21,170.35,0.041300079982549365
Adams County,Pennsylvania,"Adams County, Pennsylvania",42001,100,103.39,107.72,111.54,124.11,147.65,165.32,171.65,171.11,157.43,149.71,141.61,136.11,135.26,133.85,138.33,142.98,147.49,152.62,156.48,162.23,0.16906985431453125
Adams County,Colorado,"Adams County, Colorado",8001,100,109.42,114.38,115.18,116.99,118.73,117.04,109.74,98.68,100.59,100.37,96.17,99.1,107.68,123.21,140.02,158.65,175.66,192.3,200.48,207.83,0.6271406541676812
